# Time;running vehicles [#]
572.00;20.00
573.00;20.00
574.00;20.00
575.00;20.00
576.00;21.00
577.00;21.00
578.00;21.00
579.00;21.00
580.00;21.00
581.00;22.00
582.00;22.00
583.00;23.00
584.00;23.00
585.00;21.00
586.00;21.00
587.00;21.00
588.00;22.00
589.00;21.00
590.00;22.00
591.00;22.00
592.00;22.00
593.00;21.00
594.00;21.00
595.00;21.00
596.00;21.00
597.00;22.00
598.00;22.00
599.00;22.00
600.00;22.00
601.00;22.00
602.00;21.00
603.00;19.00
604.00;19.00
605.00;19.00
606.00;19.00
607.00;19.00
608.00;19.00
609.00;19.00
610.00;18.00
611.00;18.00
612.00;18.00
613.00;19.00
614.00;19.00
615.00;19.00
616.00;20.00
617.00;20.00
618.00;21.00
619.00;21.00
620.00;21.00
621.00;21.00
622.00;21.00
623.00;21.00
624.00;22.00
625.00;22.00
626.00;23.00
627.00;24.00
628.00;24.00
629.00;24.00
630.00;23.00
631.00;23.00
632.00;23.00
633.00;23.00
634.00;23.00
635.00;23.00
636.00;23.00
637.00;23.00
638.00;23.00
639.00;24.00
640.00;24.00
641.00;23.00
642.00;23.00
643.00;22.00
644.00;22.00
645.00;22.00
646.00;22.00
647.00;22.00
648.00;22.00
649.00;22.00
650.00;22.00
651.00;22.00
652.00;21.00
653.00;21.00
654.00;21.00
655.00;21.00
656.00;20.00
657.00;20.00
658.00;21.00
659.00;21.00
660.00;21.00
661.00;22.00
662.00;22.00
663.00;22.00
664.00;23.00
665.00;23.00
666.00;23.00
667.00;23.00
668.00;23.00
669.00;23.00
670.00;22.00
671.00;22.00
672.00;22.00
673.00;21.00
674.00;21.00
675.00;21.00
676.00;21.00
677.00;21.00
678.00;21.00
679.00;20.00
680.00;20.00
681.00;20.00
682.00;20.00
683.00;21.00
684.00;21.00
685.00;21.00
686.00;19.00
687.00;19.00
688.00;19.00
689.00;19.00
690.00;19.00
691.00;19.00
692.00;20.00
693.00;21.00
694.00;22.00
695.00;23.00
696.00;23.00
697.00;23.00
698.00;23.00
699.00;24.00
700.00;24.00
701.00;23.00
702.00;23.00
703.00;23.00
704.00;23.00
705.00;22.00
706.00;21.00
707.00;21.00
708.00;20.00
709.00;19.00
710.00;19.00
711.00;19.00
712.00;19.00
713.00;19.00
714.00;19.00
715.00;19.00
716.00;19.00
717.00;19.00
718.00;19.00
719.00;18.00
720.00;18.00
721.00;18.00
722.00;18.00
723.00;18.00
724.00;17.00
725.00;17.00
726.00;17.00
727.00;17.00
728.00;18.00
729.00;18.00
730.00;18.00
731.00;18.00
732.00;19.00
733.00;19.00
734.00;19.00
735.00;20.00
736.00;20.00
737.00;20.00
738.00;21.00
739.00;20.00
740.00;19.00
741.00;20.00
742.00;19.00
743.00;19.00
744.00;19.00
745.00;19.00
746.00;19.00
747.00;20.00
748.00;20.00
749.00;20.00
750.00;21.00
751.00;21.00
752.00;22.00
753.00;21.00
754.00;21.00
755.00;22.00
756.00;21.00
757.00;21.00
758.00;22.00
759.00;22.00
760.00;22.00
761.00;22.00
762.00;22.00
763.00;22.00
764.00;22.00
765.00;22.00
766.00;22.00
767.00;22.00
768.00;22.00
769.00;22.00
770.00;22.00
771.00;23.00
772.00;23.00
773.00;23.00
774.00;24.00
775.00;23.00
776.00;24.00
777.00;25.00
778.00;24.00
779.00;24.00
780.00;24.00
781.00;24.00
782.00;24.00
783.00;24.00
784.00;25.00
785.00;25.00
786.00;26.00
787.00;26.00
788.00;26.00
789.00;26.00
790.00;26.00
791.00;26.00
792.00;26.00
793.00;25.00
794.00;26.00
795.00;27.00
796.00;27.00
797.00;27.00
798.00;27.00
799.00;27.00
800.00;27.00
801.00;27.00
802.00;27.00
803.00;27.00
804.00;27.00
805.00;27.00
806.00;27.00
807.00;27.00
808.00;27.00
809.00;28.00
810.00;28.00
811.00;28.00
812.00;28.00
813.00;28.00
814.00;28.00
815.00;28.00
816.00;28.00
817.00;27.00
818.00;27.00
819.00;27.00
820.00;28.00
821.00;29.00
822.00;29.00
823.00;29.00
824.00;29.00
825.00;29.00
826.00;29.00
827.00;28.00
828.00;29.00
829.00;29.00
830.00;29.00
831.00;30.00
832.00;29.00
833.00;29.00
834.00;29.00
835.00;30.00
836.00;30.00
837.00;30.00
838.00;30.00
839.00;30.00
840.00;30.00
841.00;31.00
842.00;30.00
843.00;30.00
844.00;29.00
845.00;29.00
846.00;29.00
847.00;29.00
848.00;29.00
849.00;29.00
850.00;29.00
851.00;28.00
852.00;27.00
853.00;26.00
854.00;26.00
855.00;27.00
856.00;28.00
857.00;28.00
858.00;28.00
859.00;28.00
860.00;28.00
861.00;28.00
862.00;27.00
863.00;28.00
864.00;28.00
865.00;28.00
866.00;28.00
867.00;28.00
868.00;28.00
869.00;28.00
870.00;28.00
871.00;28.00
872.00;27.00
873.00;27.00
874.00;27.00
875.00;27.00
876.00;27.00
877.00;27.00
878.00;27.00
879.00;27.00
880.00;26.00
881.00;26.00
882.00;26.00
883.00;26.00
884.00;26.00
885.00;26.00
886.00;26.00
887.00;26.00
888.00;26.00
889.00;26.00
890.00;25.00
891.00;25.00
892.00;26.00
893.00;26.00
894.00;27.00
895.00;27.00
896.00;27.00
897.00;27.00
898.00;26.00
899.00;26.00
900.00;26.00
901.00;26.00
902.00;26.00
903.00;25.00
904.00;25.00
905.00;23.00
906.00;23.00
907.00;23.00
908.00;23.00
909.00;23.00
910.00;24.00
911.00;25.00
912.00;24.00
913.00;24.00
914.00;24.00
915.00;24.00
916.00;24.00
917.00;24.00
918.00;23.00
919.00;23.00
920.00;24.00
921.00;24.00
922.00;24.00
923.00;25.00
924.00;23.00
925.00;24.00
926.00;23.00
927.00;23.00
928.00;23.00
929.00;23.00
930.00;23.00
931.00;24.00
932.00;24.00
933.00;24.00
934.00;24.00
935.00;24.00
936.00;24.00
937.00;24.00
938.00;24.00
939.00;24.00
940.00;24.00
941.00;24.00
942.00;24.00
943.00;24.00
944.00;23.00
945.00;22.00
946.00;22.00
947.00;22.00
948.00;22.00
949.00;22.00
950.00;23.00
951.00;23.00
952.00;23.00
953.00;22.00
954.00;22.00
955.00;23.00
956.00;23.00
957.00;23.00
958.00;23.00
959.00;22.00
960.00;22.00
961.00;22.00
962.00;22.00
963.00;21.00
964.00;22.00
965.00;21.00
966.00;21.00
967.00;22.00
968.00;22.00
969.00;22.00
970.00;22.00
971.00;22.00
972.00;23.00
973.00;23.00
974.00;23.00
975.00;24.00
976.00;24.00
977.00;24.00
978.00;24.00
979.00;24.00
980.00;24.00
981.00;24.00
982.00;24.00
983.00;25.00
984.00;25.00
985.00;24.00
986.00;24.00
987.00;24.00
988.00;24.00
989.00;23.00
990.00;23.00
991.00;24.00
992.00;25.00
993.00;25.00
994.00;25.00
995.00;25.00
996.00;25.00
997.00;25.00
998.00;25.00
999.00;25.00
1000.00;25.00
1001.00;25.00
1002.00;25.00
1003.00;25.00
1004.00;24.00
1005.00;24.00
1006.00;23.00
1007.00;22.00
1008.00;21.00
1009.00;21.00
1010.00;21.00
1011.00;20.00
1012.00;20.00
1013.00;21.00
1014.00;21.00
1015.00;21.00
1016.00;20.00
1017.00;20.00
1018.00;20.00
1019.00;21.00
1020.00;20.00
1021.00;20.00
1022.00;19.00
1023.00;19.00
1024.00;19.00
1025.00;18.00
1026.00;18.00
1027.00;18.00
1028.00;18.00
1029.00;18.00
1030.00;18.00
1031.00;17.00
1032.00;17.00
1033.00;17.00
1034.00;17.00
1035.00;18.00
1036.00;18.00
1037.00;18.00
1038.00;18.00
1039.00;18.00
1040.00;17.00
1041.00;17.00
1042.00;16.00
1043.00;17.00
1044.00;17.00
1045.00;17.00
1046.00;16.00
1047.00;16.00
1048.00;15.00
1049.00;15.00
1050.00;15.00
1051.00;15.00
1052.00;15.00
1053.00;15.00
1054.00;15.00
1055.00;14.00
1056.00;14.00
1057.00;14.00
1058.00;14.00
1059.00;14.00
1060.00;14.00
1061.00;14.00
1062.00;14.00
1063.00;14.00
1064.00;14.00
1065.00;15.00
1066.00;15.00
1067.00;15.00
1068.00;16.00
1069.00;16.00
1070.00;14.00
1071.00;15.00
1072.00;15.00
1073.00;15.00
1074.00;16.00
1075.00;17.00
1076.00;17.00
1077.00;17.00
1078.00;17.00
1079.00;16.00
1080.00;16.00
1081.00;16.00
1082.00;16.00
1083.00;15.00
1084.00;15.00
1085.00;15.00
1086.00;14.00
1087.00;14.00
1088.00;13.00
1089.00;13.00
1090.00;13.00
1091.00;13.00
1092.00;11.00
1093.00;12.00
1094.00;11.00
1095.00;11.00
1096.00;12.00
1097.00;12.00
1098.00;12.00
1099.00;12.00
1100.00;13.00
1101.00;13.00
1102.00;13.00
1103.00;14.00
1104.00;14.00
1105.00;14.00
1106.00;14.00
1107.00;15.00
1108.00;15.00
1109.00;15.00
1110.00;15.00
1111.00;15.00
1112.00;15.00
1113.00;15.00
1114.00;15.00
1115.00;15.00
1116.00;16.00
1117.00;16.00
1118.00;17.00
1119.00;17.00
1120.00;17.00
1121.00;17.00
1122.00;18.00
1123.00;18.00
1124.00;18.00
1125.00;18.00
1126.00;18.00
1127.00;19.00
1128.00;19.00
1129.00;19.00
1130.00;19.00
1131.00;19.00
1132.00;18.00
1133.00;18.00
1134.00;19.00
1135.00;19.00
1136.00;19.00
1137.00;19.00
1138.00;19.00
1139.00;19.00
1140.00;19.00
1141.00;19.00
1142.00;20.00
1143.00;20.00
1144.00;21.00
1145.00;21.00
1146.00;21.00
1147.00;21.00
1148.00;21.00
1149.00;21.00
1150.00;21.00
1151.00;21.00
1152.00;21.00
1153.00;21.00
1154.00;21.00
1155.00;21.00
1156.00;21.00
1157.00;21.00
1158.00;20.00
1159.00;21.00
1160.00;21.00
1161.00;22.00
1162.00;23.00
1163.00;23.00
1164.00;23.00
1165.00;23.00
1166.00;23.00
1167.00;23.00
1168.00;23.00
1169.00;22.00
1170.00;22.00
1171.00;23.00
1172.00;23.00
1173.00;23.00
1174.00;23.00
1175.00;23.00
1176.00;23.00
1177.00;22.00
1178.00;22.00
1179.00;21.00
1180.00;21.00
1181.00;20.00
1182.00;20.00
1183.00;20.00
1184.00;20.00
1185.00;20.00
1186.00;19.00
1187.00;19.00
1188.00;18.00
1189.00;18.00
1190.00;17.00
1191.00;17.00
1192.00;17.00
1193.00;18.00
1194.00;18.00
1195.00;18.00
1196.00;18.00
1197.00;18.00
1198.00;18.00
1199.00;18.00
1200.00;19.00
1201.00;20.00
1202.00;20.00
1203.00;19.00
1204.00;19.00
1205.00;18.00
1206.00;17.00
1207.00;17.00
1208.00;17.00
1209.00;17.00
1210.00;18.00
1211.00;18.00
1212.00;18.00
1213.00;18.00
1214.00;18.00
1215.00;18.00
1216.00;20.00
1217.00;20.00
1218.00;20.00
1219.00;20.00
1220.00;21.00
1221.00;21.00
1222.00;21.00
1223.00;21.00
1224.00;21.00
1225.00;21.00
1226.00;21.00
1227.00;21.00
1228.00;21.00
1229.00;21.00
1230.00;22.00
1231.00;22.00
1232.00;21.00
1233.00;21.00
1234.00;21.00
1235.00;20.00
1236.00;21.00
1237.00;21.00
1238.00;21.00
1239.00;21.00
1240.00;21.00
1241.00;21.00
1242.00;21.00
1243.00;20.00
1244.00;20.00
1245.00;21.00
1246.00;20.00
1247.00;20.00
1248.00;20.00
1249.00;20.00
1250.00;19.00
1251.00;19.00
1252.00;19.00
1253.00;18.00
1254.00;19.00
1255.00;19.00
1256.00;19.00
1257.00;19.00
1258.00;19.00
1259.00;19.00
1260.00;19.00
1261.00;19.00
1262.00;19.00
1263.00;19.00
1264.00;19.00
1265.00;19.00
1266.00;19.00
1267.00;18.00
1268.00;18.00
1269.00;18.00
1270.00;18.00
1271.00;18.00
1272.00;18.00
1273.00;18.00
1274.00;18.00
1275.00;18.00
1276.00;19.00
1277.00;19.00
1278.00;19.00
1279.00;19.00
1280.00;17.00
1281.00;16.00
1282.00;16.00
1283.00;15.00
1284.00;15.00
1285.00;15.00
1286.00;15.00
1287.00;15.00
1288.00;15.00
1289.00;15.00
1290.00;16.00
1291.00;16.00
1292.00;16.00
1293.00;17.00
1294.00;17.00
1295.00;17.00
1296.00;18.00
1297.00;18.00
1298.00;18.00
1299.00;19.00
1300.00;19.00
1301.00;19.00
1302.00;18.00
1303.00;18.00
1304.00;18.00
1305.00;18.00
1306.00;18.00
1307.00;18.00
1308.00;19.00
1309.00;19.00
1310.00;20.00
1311.00;21.00
1312.00;21.00
1313.00;21.00
1314.00;21.00
1315.00;21.00
1316.00;21.00
1317.00;21.00
1318.00;21.00
1319.00;22.00
1320.00;22.00
1321.00;22.00
1322.00;22.00
1323.00;22.00
1324.00;22.00
1325.00;22.00
1326.00;22.00
1327.00;22.00
1328.00;22.00
1329.00;22.00
1330.00;22.00
1331.00;22.00
1332.00;22.00
1333.00;22.00
1334.00;22.00
1335.00;21.00
1336.00;21.00
1337.00;21.00
1338.00;21.00
1339.00;21.00
1340.00;21.00
1341.00;21.00
1342.00;22.00
1343.00;22.00
1344.00;22.00
1345.00;22.00
1346.00;23.00
1347.00;23.00
1348.00;23.00
1349.00;22.00
1350.00;22.00
1351.00;22.00
1352.00;21.00
1353.00;21.00
1354.00;21.00
1355.00;21.00
1356.00;21.00
1357.00;21.00
1358.00;21.00
1359.00;22.00
1360.00;21.00
1361.00;21.00
1362.00;21.00
1363.00;22.00
1364.00;23.00
1365.00;22.00
1366.00;23.00
1367.00;24.00
1368.00;24.00
1369.00;24.00
1370.00;24.00
1371.00;25.00
1372.00;25.00
1373.00;25.00
1374.00;25.00
1375.00;25.00
1376.00;25.00
1377.00;25.00
1378.00;25.00
1379.00;25.00
1380.00;25.00
1381.00;26.00
1382.00;26.00
1383.00;25.00
1384.00;26.00
1385.00;26.00
1386.00;26.00
1387.00;26.00
1388.00;26.00
1389.00;26.00
1390.00;26.00
1391.00;26.00
1392.00;26.00
1393.00;27.00
1394.00;27.00
1395.00;27.00
1396.00;27.00
1397.00;27.00
1398.00;27.00
1399.00;27.00
1400.00;27.00
1401.00;27.00
1402.00;26.00
1403.00;25.00
1404.00;25.00
1405.00;25.00
1406.00;26.00
1407.00;26.00
1408.00;27.00
1409.00;27.00
1410.00;27.00
1411.00;28.00
1412.00;29.00
1413.00;29.00
1414.00;29.00
1415.00;29.00
1416.00;29.00
1417.00;28.00
1418.00;28.00
1419.00;28.00
1420.00;28.00
1421.00;28.00
1422.00;29.00
1423.00;27.00
1424.00;28.00
1425.00;29.00
1426.00;29.00
1427.00;29.00
1428.00;29.00
1429.00;30.00
1430.00;30.00
1431.00;30.00
1432.00;30.00
1433.00;30.00
1434.00;30.00
1435.00;31.00
1436.00;30.00
1437.00;31.00
1438.00;31.00
1439.00;32.00
1440.00;32.00
1441.00;32.00
1442.00;30.00
1443.00;29.00
1444.00;29.00
1445.00;29.00
1446.00;29.00
1447.00;29.00
1448.00;29.00
1449.00;29.00
1450.00;29.00
1451.00;29.00
1452.00;29.00
1453.00;28.00
1454.00;27.00
1455.00;27.00
1456.00;25.00
1457.00;25.00
1458.00;25.00
1459.00;25.00
1460.00;25.00
1461.00;24.00
1462.00;24.00
1463.00;25.00
1464.00;25.00
1465.00;25.00
1466.00;25.00
1467.00;26.00
1468.00;25.00
1469.00;26.00
1470.00;25.00
1471.00;25.00
1472.00;25.00
1473.00;25.00
1474.00;26.00
1475.00;26.00
1476.00;26.00
1477.00;26.00
1478.00;26.00
1479.00;24.00
1480.00;24.00
1481.00;23.00
1482.00;23.00
1483.00;24.00
1484.00;24.00
1485.00;24.00
1486.00;24.00
1487.00;24.00
1488.00;24.00
1489.00;23.00
1490.00;24.00
1491.00;23.00
1492.00;23.00
1493.00;23.00
1494.00;23.00
1495.00;23.00
1496.00;23.00
1497.00;23.00
1498.00;23.00
1499.00;22.00
1500.00;22.00
1501.00;23.00
1502.00;23.00
1503.00;22.00
1504.00;22.00
1505.00;22.00
1506.00;22.00
1507.00;23.00
1508.00;22.00
1509.00;22.00
1510.00;22.00
1511.00;22.00
1512.00;22.00
1513.00;21.00
1514.00;20.00
1515.00;20.00
1516.00;19.00
1517.00;19.00
1518.00;18.00
1519.00;18.00
1520.00;18.00
1521.00;18.00
1522.00;19.00
1523.00;19.00
1524.00;18.00
1525.00;18.00
1526.00;18.00
1527.00;18.00
1528.00;19.00
1529.00;20.00
1530.00;20.00
1531.00;20.00
1532.00;20.00
1533.00;19.00
1534.00;19.00
1535.00;19.00
1536.00;19.00
1537.00;19.00
1538.00;19.00
1539.00;19.00
1540.00;19.00
1541.00;19.00
1542.00;19.00
1543.00;20.00
1544.00;20.00
1545.00;20.00
1546.00;20.00
1547.00;20.00
1548.00;20.00
1549.00;19.00
1550.00;19.00
1551.00;19.00
1552.00;19.00
1553.00;19.00
1554.00;18.00
1555.00;18.00
1556.00;18.00
1557.00;18.00
1558.00;17.00
1559.00;17.00
1560.00;17.00
1561.00;17.00
1562.00;17.00
1563.00;17.00
1564.00;17.00
1565.00;17.00
1566.00;17.00
1567.00;17.00
1568.00;16.00
1569.00;16.00
1570.00;16.00
1571.00;16.00
1572.00;15.00
1573.00;15.00
1574.00;14.00
1575.00;13.00
1576.00;13.00
1577.00;13.00
1578.00;13.00
1579.00;13.00
1580.00;14.00
1581.00;14.00
1582.00;13.00
1583.00;13.00
1584.00;13.00
1585.00;14.00
1586.00;14.00
1587.00;14.00
1588.00;14.00
1589.00;14.00
1590.00;15.00
1591.00;14.00
1592.00;14.00
1593.00;13.00
1594.00;12.00
1595.00;13.00
1596.00;13.00
1597.00;14.00
1598.00;14.00
1599.00;13.00
1600.00;14.00
1601.00;14.00
1602.00;13.00
1603.00;13.00
1604.00;13.00
1605.00;13.00
1606.00;13.00
1607.00;12.00
1608.00;12.00
1609.00;12.00
1610.00;12.00
1611.00;12.00
1612.00;12.00
1613.00;12.00
1614.00;12.00
1615.00;12.00
1616.00;12.00
1617.00;12.00
1618.00;12.00
1619.00;12.00
1620.00;12.00
1621.00;12.00
1622.00;12.00
1623.00;12.00
1624.00;12.00
1625.00;12.00
1626.00;12.00
1627.00;12.00
1628.00;12.00
1629.00;12.00
1630.00;13.00
1631.00;13.00
1632.00;13.00
1633.00;12.00
1634.00;12.00
1635.00;12.00
1636.00;12.00
1637.00;12.00
1638.00;12.00
1639.00;12.00
1640.00;12.00
1641.00;13.00
1642.00;13.00
1643.00;13.00
1644.00;13.00
1645.00;13.00
1646.00;13.00
1647.00;13.00
1648.00;14.00
1649.00;15.00
1650.00;15.00
1651.00;15.00
1652.00;17.00
1653.00;18.00
1654.00;18.00
1655.00;18.00
1656.00;18.00
1657.00;18.00
1658.00;18.00
1659.00;17.00
1660.00;17.00
1661.00;17.00
1662.00;18.00
